timestamp,cpu,memoria,disco
2026-05-09 04:38:25.942115,12.4,61.6,95.3
2026-05-09 04:38:30.951315,8.3,61.5,95.3
2026-05-09 04:38:35.967174,11.8,61.6,95.3
2026-05-09 04:38:40.982390,8.1,61.0,95.3
2026-05-09 04:38:46.000167,34.5,61.6,95.3
2026-05-09 04:38:51.496035,100.0,61.6,95.3
2026-05-09 04:38:56.774459,100.0,61.6,95.3
2026-05-09 04:39:01.993830,100.0,61.7,95.3
2026-05-09 04:39:07.022121,100.0,61.6,95.3
2026-05-09 04:39:12.074370,100.0,61.6,95.3
2026-05-09 04:39:17.362303,100.0,61.6,95.3
2026-05-09 04:39:22.603470,100.0,61.6,95.3
2026-05-09 04:39:27.925883,100.0,61.5,95.3
2026-05-09 04:39:33.240020,100.0,61.7,95.3
2026-05-09 04:39:38.505204,100.0,61.9,95.3
2026-05-09 04:39:43.537547,100.0,61.8,95.3
2026-05-09 04:39:48.571194,100.0,61.7,95.3
2026-05-09 04:40:16.504516,15.4,59.7,95.3
2026-05-09 04:40:21.514443,6.1,59.7,95.3
2026-05-09 04:40:26.531150,6.0,59.7,95.3
2026-05-09 04:40:31.544826,4.0,59.6,95.3
2026-05-09 04:40:36.556509,7.5,59.6,95.3
2026-05-09 04:40:41.575068,7.5,59.7,95.3
2026-05-09 04:40:46.587003,4.7,59.6,95.3
2026-05-09 04:40:51.601009,6.8,59.6,95.3
2026-05-09 04:40:56.617202,6.5,59.6,95.3
2026-05-09 04:41:01.636831,3.9,59.6,95.3
2026-05-09 04:41:06.656388,6.9,59.6,95.3
2026-05-09 04:41:11.669607,8.3,59.7,95.3
2026-05-09 04:41:16.682674,5.9,59.7,95.3
2026-05-09 04:41:21.695082,6.2,59.7,95.3
2026-05-09 04:41:26.711341,6.1,59.7,95.3
2026-05-09 04:41:31.722022,8.8,59.7,95.3
2026-05-09 04:41:36.734796,7.1,59.6,95.3
2026-05-09 04:41:41.747611,11.4,59.5,95.3
2026-05-09 04:41:46.771520,6.8,59.5,95.3
2026-05-09 04:41:51.781406,15.2,59.7,95.3
2026-05-09 04:41:56.806157,7.5,59.6,95.3
2026-05-09 04:42:01.837395,6.9,59.6,95.3
2026-05-09 04:42:06.845937,8.8,59.6,95.3
2026-05-09 04:42:11.871064,12.0,59.7,95.3
2026-05-09 04:42:16.880306,11.9,59.9,95.3
2026-05-09 04:42:21.894641,8.1,59.9,95.3
2026-05-09 04:42:26.909673,9.2,59.9,95.3
